,src_port,dst_port,duration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,max_fpktl,mean_fpktl,std_fpktl,min_bpktl,max_bpktl,mean_bpktl,std_bpktl,flowBytesPerSecond,flowPktsPerSecond,mean_flowiat,std_flowiat,max_flowiat,min_flowiat,total_fiat,mean_fiat,std_fiat,max_fiat,min_fiat,total_biat,mean_biat,max_biat,min_biat,fpsh_cnt,bpsh_cnt,fPktsPerSecond,bPktsPerSecond,min_flowpktl,max_flowpktl,mean_flowpktl,std_flowpktl,var_flowpktl,flow_fin,flow_syn,flow_rst,flow_psh,flow_ack,downUpRatio,avgPacketSize,fAvgSegmentSize,bAvgSegmentSize,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bAvgPacketsPerBulk,bAvgBulkRate,fSubFlowAvgPkts,fSubFlowAvgBytes,bSubFlowAvgPkts,bSubFlowAvgBytes,fInitWinSize,bInitWinSize,fDataPkts,fHeaderSizeMin,mean_active_s,max_active_s
258,1,148,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,8,0,1,0,0,225,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,145,1,0,84,90,12,8,0,1,1,0,94,6,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,3,8,3,3,1,0,225,0,0,75,103,4,3,0,6,8,187,160,168,96,84,12,90,8,1,0,84,0,0,0
260,1,209,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,8,0,1,0,0,225,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,1,173,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,225,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,1,209,0,28,45,8,2,3,4,3,1,69,4,11,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,1,49,8,3,5,2,0,225,0,0,75,51,11,5,2,0,9,112,168,112,112,28,8,45,2,0,1,28,3,0,0
263,1,173,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,225,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,206,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,8,0,1,0,0,225,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
265,1,148,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,8,0,1,0,0,225,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,1,148,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,8,0,1,0,0,225,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,145,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,8,0,1,0,0,225,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
